17 !No of Header lines including this one    		
c           		
c spectral base: SPECTRA bands       		
c           		
c It contains soil single scattering albedo values (Omega)   		
c           		
c -99. in parameter b means that Hapke and soil moisture model should not be applied		
c then file contains Lambertian reflectances      		
c           		
c in each column the parameters for a soil code is stored		
c Soil code 1 = Zero reflectance		
c Soil code 2 = lab background smooth 10 nm    		
c           		
c           		
c           		
c           		
c            		
2 201 !No. of soils, no of bands		
1	2	!soil code
-99	-99	!b
0.68	0.68	!c
0.3	0.3	!B0
0.23	0.23	!h
0	0.0028795	
0	0.003193588	
0	0.003466734	
0	0.003713195	
0	0.003920128	
0	0.004089367	
0	0.004228708	
0	0.004362478	
0	0.004516314	
0	0.004729856	
0	0.005037271	
0	0.005441672	
0	0.005903508	
0	0.006348117	
0	0.00670173	
0	0.006926108	
0	0.007019539	
0	0.007010254	
0	0.006951549	
0	0.006892032	
0	0.006855182	
0	0.006841692	
0	0.00683322	
0	0.006784046	
0	0.006651866	
0	0.00646594	
0	0.00634368	
0	0.006455697	
0	0.006976906	
0	0.008002209	
0	0.009470121	
0	0.011160595	
0	0.012805499	
0	0.014189257	
0	0.015201452	
0	0.015858022	
0	0.016261719	
0	0.016536441	
0	0.016769228	
0	0.017003492	
0	0.017248053	
0	0.017491025	
0	0.017719249	
0	0.017927484	
0	0.018121156	
0	0.018311237	
0	0.018504481	
0	0.018697381	
0	0.018882984	
0	0.01905291	
0	0.019199526	
0	0.019323708	
0	0.019430006	
0	0.019526475	
0	0.019618349	
0	0.019707276	
0	0.019794979	
0	0.019887582	
0	0.020002833	
0	0.020154258	
0	0.02034227	
0	0.020556244	
0	0.020768334	
0	0.020948103	
0	0.021081642	
0	0.021176157	
0	0.021251031	
0	0.021310305	
0	0.021360307	
0	0.021397624	
0	0.02141141	
0	0.021394273	
0	0.021341526	
0	0.021263487	
0	0.021164497	
0	0.021056658	
0	0.020956066	
0	0.020873631	
0	0.020815593	
0	0.020782541	
0	0.020776963	
0	0.020798107	
0	0.020843075	
0	0.020906403	
0	0.020973093	
0	0.02103057	
0	0.02106888	
0	0.021080865	
0	0.021064049	
0	0.021027223	
0	0.020975363	
0	0.020888557	
0	0.020749412	
0	0.020548438	
0	0.020279792	
0	0.019936566	
0	0.019518439	
0	0.019023552	
0	0.018429212	
0	0.01773922	
0	0.017003034	
0	0.016300453	
0	0.015709412	
0	0.015280056	
0	0.015030173	
0	0.014934704	
0	0.014950993	
0	0.015046993	
0	0.015202925	
0	0.015402233	
0	0.015622148	
0	0.015847286	
0	0.016065197	
0	0.016264423	
0	0.016442079	
0	0.01660439	
0	0.016755854	
0	0.016899438	
0	0.017039929	
0	0.017179312	
0	0.017312448	
0	0.017431826	
0	0.017530495	
0	0.017600918	
0	0.017639819	
0	0.017648902	
0	0.017632504	
0	0.017594655	
0	0.017527368	
0	0.017425999	
0	0.017293238	
0	0.017143116	
0	0.016997712	
0	0.016880423	
0	0.016808944	
0	0.016778573	
0	0.016778785	
0	0.016793388	
0	0.01681051	
0	0.016806037	
0	0.016772312	
0	0.016715699	
0	0.016648954	
0	0.016586413	
0	0.016509861	
0	0.016350736	
0	0.015981646	
0	0.01529798	
0	0.014291178	
0	0.013057412	
0	0.01180362	
0	0.010772241	
0	0.010137983	
0	0.009927411	
0	0.01005559	
0	0.010391524	
0	0.01079866	
0	0.01118718	
0	0.011532022	
0	0.011855991	
0	0.012159056	
0	0.012428398	
0	0.012641954	
0	0.012788565	
0	0.012847714	
0	0.012826463	
0	0.012763192	
0	0.012695457	
0	0.012655327	
0	0.012640457	
0	0.01265262	
0	0.012669464	
0	0.012666761	
0	0.012647002	
0	0.012610733	
0	0.012582147	
0	0.01255999	
0	0.012548223	
0	0.012546043	
0	0.012561799	
0	0.012599636	
0	0.012631651	
0	0.012633791	
0	0.012580258	
0	0.012452217	
0	0.012225844	
0	0.011919624	
0	0.011589475	
0	0.011260958	
0	0.010980731	
0	0.010811053	
0	0.010767813	
0	0.01080964	
0	0.01087882	
0	0.01092965	
0	0.010929528	
0	0.010880321	
0	0.010813333	
0	0.010721002	
0	0.010580874	
0	0.01036134	
