Soil code          1
Hapke_b         0.84
Hapke_c         0.68
Hapke_B0        0.30
Hapke_h         0.23
SM%              5.0
Cab_green       70.0
Cw_green       0.008
Cdm_green      0.003
Cs_green        0.05
N_green        1.500
Cab_brown        5.0
Cw_brown       0.001
Cdm_brown      0.005
Cs_brown        1.00
N_brown        2.000
LAI             1.00
LIDF a         -0.35
LIDF b         -0.15
hot             0.05
fB              0.00
D               0.80
Cv%             100.
zeta            0.50
sza             30.0
vza              0.0
azi              0.0

  WL           SOIL           LEAF green    LEAF brown          CANOPY
 (nm)   rso  rdo  rsd  rdd    refl  tran    refl  tran    rso  rdo  rsd  rdd

 400.  21.3 21.3 21.3 21.3     5.1   0.2     8.5   2.0    8.7  6.0  5.7  4.5
 410.  21.8 21.8 21.8 21.8     5.1   0.2     9.2   2.5    8.9  6.1  5.8  4.6
 420.  22.6 22.6 22.6 22.6     5.0   0.2    10.6   3.5    9.2  6.3  6.0  4.7
 430.  23.6 23.6 23.6 23.6     5.0   0.2    11.8   4.3    9.5  6.5  6.2  4.8
 440.  25.1 25.1 25.1 25.1     5.0   0.3    12.7   4.9   10.1  6.9  6.5  5.0
 450.  26.4 26.4 26.4 26.4     5.1   0.6    13.7   5.7   10.6  7.2  6.9  5.3
 460.  27.3 27.3 27.3 27.3     5.1   0.7    14.2   6.1   10.9  7.5  7.1  5.4
 470.  27.9 27.9 27.9 27.9     5.1   0.8    14.5   6.3   11.2  7.6  7.2  5.6
 480.  28.8 28.8 28.8 28.8     5.1   0.9    14.9   6.6   11.5  7.8  7.4  5.7
 490.  30.1 30.1 30.1 30.1     5.2   1.1    15.4   7.0   12.0  8.2  7.8  6.0
 500.  31.7 31.7 31.7 31.7     5.5   1.8    16.2   7.6   12.7  8.8  8.3  6.5
 510.  33.3 33.3 33.3 33.3     6.8   3.8    17.4   8.5   13.8  9.7  9.3  7.6
 520.  34.8 34.8 34.8 34.8     9.3   7.2    18.4   9.3   15.4 11.3 11.0  9.5
 530.  36.2 36.2 36.2 36.2    11.1   9.4    19.1   9.9   16.7 12.5 12.2 11.0
 540.  36.9 36.9 36.9 36.9    11.8  10.4    19.8  10.5   17.3 13.1 12.8 11.7
 550.  37.9 37.9 37.9 37.9    12.4  11.1    20.3  11.1   18.0 13.7 13.4 12.3
 560.  39.4 39.4 39.4 39.4    11.8  10.6    20.7  11.5   18.4 13.8 13.5 12.2
 570.  40.8 40.8 40.8 40.8    10.3   9.0    21.1  11.9   18.3 13.5 13.1 11.4
 580.  42.1 42.1 42.1 42.1     9.1   7.6    21.5  12.4   18.3 13.2 12.8 10.8
 590.  43.4 43.4 43.4 43.4     8.3   6.7    22.1  12.9   18.5 13.2 12.7 10.5
