10  !No of Header lines including this one    
c                  
c  spectral base: SPECTRA bands          
c                  
c  This file contains PROSPECT absorption coefficients that are constant
c  modified from Baret COEFSPE.XLS Kw water changed    
c                  
c  Wavel.  Refr.index  Kdm  Kab  Kw  Ks  H2O_refr  H2O_abko  
c  nm  leaf  dry  matter  Chlorohyll  Water  senescense    
c                  
201  !  number  of  spectral  bands        
0.400  1.51352  103.10330  0.04730  0.00158  0.52459  1.33689   0.00158    
0.410  1.50838   77.26552  0.04786  0.00142  0.51719  1.33689   0.00142    
0.420  1.50341   42.90394  0.04681  0.00126  0.50719  1.33689   0.00126    
0.430  1.50026   23.86230  0.04618  0.00109  0.49687  1.33689   0.00109    
0.440  1.49790   15.12663  0.04188  0.00094  0.48524  1.33689   0.00094    
0.450  1.49554   10.54250  0.03569  0.00081  0.47320  1.33689   0.00081
0.460  1.49369    7.82997  0.03439  0.00076  0.46113  1.33573   0.00076
0.470  1.49225    6.86180  0.03352  0.00073  0.45043  1.33482   0.00073
0.480  1.49097    6.63863  0.03215  0.00071  0.43968  1.33413   0.00071
0.490  1.48958    6.43493  0.02950  0.00073  0.42725  1.33363   0.00073
0.500  1.48799    6.23297  0.02435  0.00092  0.41508  1.33329   0.00092
0.510  1.48601    6.03349  0.01679  0.00127  0.40555  1.33308   0.00127
0.520  1.48355    5.84139  0.01110  0.00157  0.39618  1.33298   0.00157
0.530  1.48068    5.64577  0.00893  0.00176  0.38477  1.33295   0.00176
0.540  1.47742    5.45361  0.00822  0.00210  0.36651  1.33296   0.00210
0.550  1.47389    5.27224  0.00774  0.00244  0.35165  1.33299   0.00244
0.560  1.47010    5.09257  0.00822  0.00287  0.33901  1.33300   0.00287
0.570  1.46620    4.91259  0.00963  0.00343  0.32186  1.33298   0.00343
0.580  1.46241    4.73408  0.01110  0.00443  0.30198  1.33293   0.00443
0.590  1.45889    4.55845  0.01229  0.00637  0.28232  1.33286   0.00637
0.600  1.45591    4.38554  0.01331  0.00963  0.26377  1.33278   0.00963
0.610  1.45332    4.21285  0.01503  0.01240  0.24647  1.33268   0.01240
