4  !number of header lines including this one
The data for W, Nr, Kab, Kw, Kdm and H2O_abko were taken from "dataSpec_P4.m"
The data for Ks and H2O_refr have been interpolated from "OPTCOEFF.DAT"
W	Nr	Kdm	Kab	Kw	Ks	H2O_refr	H2O_abko	
2001  !number of spectral bands
0.400	1.496310	1.100E+02	1.290E-01	5.800E-05	0.524590	1.336890	5.800E-05	
0.401	1.497010	1.040E+02	1.310E-01	5.850E-05	0.523850	1.336890	5.850E-05	
0.402	1.497570	9.800E+01	1.330E-01	5.900E-05	0.523110	1.336890	5.900E-05	
0.403	1.498390	9.240E+01	1.360E-01	5.990E-05	0.522370	1.336890	5.990E-05	
0.404	1.499460	8.710E+01	1.380E-01	6.100E-05	0.521630	1.336890	6.100E-05	
0.405	1.500560	8.230E+01	1.390E-01	6.200E-05	0.520890	1.336890	6.200E-05	
0.406	1.501680	7.810E+01	1.400E-01	6.300E-05	0.520150	1.336890	6.300E-05	
0.407	1.502940	7.400E+01	1.420E-01	6.400E-05	0.519410	1.336890	6.400E-05	
0.408	1.504390	7.010E+01	1.430E-01	6.500E-05	0.518670	1.336890	6.500E-05	
0.409	1.505720	6.650E+01	1.430E-01	6.600E-05	0.517930	1.336890	6.600E-05	
0.410	1.506900	6.300E+01	1.440E-01	6.700E-05	0.517190	1.336890	6.700E-05	
0.411	1.507920	5.950E+01	1.450E-01	6.790E-05	0.516190	1.336890	6.790E-05	
0.412	1.509290	5.620E+01	1.460E-01	6.900E-05	0.515190	1.336890	6.900E-05	
0.413	1.510810	5.300E+01	1.470E-01	7.050E-05	0.514190	1.336890	7.050E-05	
0.414	1.512390	5.000E+01	1.480E-01	7.200E-05	0.513190	1.336890	7.200E-05	
0.415	1.513890	4.720E+01	1.490E-01	7.310E-05	0.512190	1.336890	7.310E-05	
0.416	1.515380	4.460E+01	1.490E-01	7.400E-05	0.511190	1.336890	7.400E-05	
0.417	1.516840	4.220E+01	1.490E-01	7.490E-05	0.510190	1.336890	7.490E-05	
0.418	1.518230	4.000E+01	1.500E-01	7.600E-05	0.509190	1.336890	7.600E-05	
0.419	1.519720	3.780E+01	1.500E-01	7.740E-05	0.508190	1.336890	7.740E-05	
0.420	1.521170	3.570E+01	1.510E-01	7.900E-05	0.507190	1.336890	7.900E-05	
0.421	1.522510	3.360E+01	1.520E-01	8.060E-05	0.506158	1.336890	8.060E-05	
0.422	1.523870	3.170E+01	1.530E-01	8.200E-05	0.505126	1.336890	8.200E-05	
