5  !number of header lines including this one
This file contains 10 nm resolution data for use in SLC_demo
The data for W, Nr, Kab, Kw, Kdm and H2O_abko were taken from "dataSpec_P4.m"
The data for Ks and H2O_refr were taken from "OPTCOEFF.DAT"
W	Nr	Kdm	Kab	Kw	Ks	H2O_refr	H2O_abko	
201  !number of spectral bands
0.400	1.496310	1.100E+02	1.290E-01	5.800E-05	0.524590	1.336890	5.800E-05	
0.410	1.506900	6.300E+01	1.440E-01	6.700E-05	0.517190	1.336890	6.700E-05	
0.420	1.521170	3.570E+01	1.510E-01	7.900E-05	0.507190	1.336890	7.900E-05	
0.430	1.532880	2.020E+01	1.580E-01	9.200E-05	0.496870	1.336890	9.200E-05	
0.440	1.538760	1.100E+01	1.620E-01	1.040E-04	0.485240	1.336890	1.040E-04	
0.450	1.542790	6.660E+00	1.490E-01	1.140E-04	0.473200	1.336890	1.140E-04	
0.460	1.542990	4.580E+00	1.250E-01	1.240E-04	0.461130	1.335730	1.240E-04	
0.470	1.538750	3.460E+00	1.110E-01	1.350E-04	0.450430	1.334820	1.350E-04	
0.480	1.537120	2.800E+00	1.060E-01	1.520E-04	0.439680	1.334130	1.520E-04	
0.490	1.529440	2.570E+00	8.800E-02	1.810E-04	0.427250	1.333630	1.810E-04	
0.500	1.503460	2.420E+00	5.970E-02	2.380E-04	0.415080	1.333290	2.380E-04	
0.510	1.468440	2.330E+00	3.770E-02	3.290E-04	0.405550	1.333080	3.290E-04	
0.520	1.446460	2.300E+00	2.360E-02	4.090E-04	0.396180	1.332980	4.090E-04	
0.530	1.439590	2.300E+00	1.690E-02	4.290E-04	0.384770	1.332950	4.290E-04	
0.540	1.435460	2.300E+00	1.480E-02	4.950E-04	0.366510	1.332960	4.950E-04	
0.550	1.431130	2.300E+00	1.390E-02	5.880E-04	0.351650	1.332990	5.880E-04	
0.560	1.425520	2.300E+00	1.420E-02	6.720E-04	0.339010	1.333000	6.720E-04	
0.570	1.418550	2.300E+00	1.650E-02	7.590E-04	0.321860	1.332980	7.590E-04	
0.580	1.413300	2.300E+00	1.960E-02	9.520E-04	0.301980	1.332930	9.520E-04	
0.590	1.410490	2.300E+00	2.170E-02	1.360E-03	0.282320	1.332860	1.360E-03	
0.600	1.408580	2.300E+00	2.280E-02	2.220E-03	0.263770	1.332780	2.220E-03	
0.610	1.407520	2.300E+00	2.490E-02	2.690E-03	0.246470	1.332680	2.690E-03	
