4  !number of header lines including this one
The data for W, Nr, Kab, Kw, Kdm and H2O_abko were taken from "dataSpec_P5.m"
The data for Ks and H2O_refr have been interpolated from "OPTCOEFF.DAT"
W           Nr          Kdm         Kab         Kw          Ks          H2O_refr    H2O_abko    
2001  !number of spectral bands
0.4         1.4955      1.097E+02        2.676E-02        5.800E-05        0.52459     1.33689     5.800E-05        
0.401       1.49584     1.037E+02        3.113E-02        5.850E-05        0.52385     1.33689     5.850E-05        
0.402       1.49598     9.798E+01        3.561E-02        5.900E-05        0.52311     1.33689     5.900E-05        
0.403       1.49639     9.244E+01        3.972E-02        5.990E-05        0.52237     1.33689     5.990E-05        
0.404       1.49707     8.713E+01        4.321E-02        6.100E-05        0.52163     1.33689     6.100E-05        
0.405       1.4978      8.231E+01        4.606E-02        6.200E-05        0.52089     1.33689     6.200E-05        
0.406       1.49858     7.806E+01        4.815E-02        6.300E-05        0.52015     1.33689     6.300E-05        
0.407       1.4995      7.404E+01        5.007E-02        6.400E-05        0.51941     1.33689     6.400E-05        
0.408       1.50061     7.013E+01        5.189E-02        6.500E-05        0.51867     1.33689     6.500E-05        
0.409       1.5016      6.654E+01        5.346E-02        6.600E-05        0.51793     1.33689     6.600E-05        
0.41        1.50242     6.300E+01        5.526E-02        6.700E-05        0.51719     1.33689     6.700E-05        
0.411       1.50308     5.954E+01        5.721E-02        6.790E-05        0.51619     1.33689     6.790E-05        
0.412       1.50408     5.616E+01        5.891E-02        6.900E-05        0.51519     1.33689     6.900E-05        
0.413       1.50525     5.300E+01        6.004E-02        7.050E-05        0.51419     1.33689     7.050E-05        
0.414       1.50647     5.001E+01        6.100E-02        7.200E-05        0.51319     1.33689     7.200E-05        
0.415       1.50764     4.723E+01        6.189E-02        7.310E-05        0.51219     1.33689     7.310E-05        
0.416       1.5088      4.463E+01        6.259E-02        7.400E-05        0.51119     1.33689     7.400E-05        
0.417       1.50994     4.220E+01        6.318E-02        7.490E-05        0.51019     1.33689     7.490E-05        
0.418       1.51101     3.996E+01        6.367E-02        7.600E-05        0.50919     1.33689     7.600E-05        
0.419       1.51219     3.780E+01        6.416E-02        7.740E-05        0.50819     1.33689     7.740E-05        
0.42        1.51336     3.567E+01        6.475E-02        7.900E-05        0.50719     1.33689     7.900E-05        
0.421       1.51445     3.362E+01        6.555E-02        8.060E-05        0.506158    1.33689     8.060E-05        
0.422       1.51558     3.170E+01        6.628E-02        8.200E-05        0.505126    1.33689     8.200E-05        
0.423       1.51676     2.993E+01        6.690E-02        8.300E-05        0.504094    1.33689     8.300E-05        
0.424       1.51812     2.832E+01        6.718E-02        8.400E-05        0.503062    1.33689     8.400E-05        
0.425       1.51949     2.679E+01        6.747E-02        8.550E-05        0.50203     1.33689     8.550E-05        
0.426       1.52056     2.535E+01        6.795E-02        8.700E-05        0.500998    1.33689     8.700E-05        
0.427       1.52123     2.402E+01        6.854E-02        8.800E-05        0.499966    1.33689     8.800E-05        
0.428       1.52194     2.276E+01        6.897E-02        8.900E-05        0.498934    1.33689     8.900E-05        
0.429       1.52276     2.150E+01        6.931E-02        9.050E-05        0.497902    1.33689     9.050E-05        
0.43        1.52347     2.024E+01        6.979E-02        9.200E-05        0.49687     1.33689     9.200E-05        
0.431       1.52412     1.901E+01        7.037E-02        9.300E-05        0.495707    1.33689     9.300E-05        
0.432       1.52486     1.785E+01        7.082E-02        9.400E-05        0.494544    1.33689     9.400E-05        
0.433       1.52559     1.676E+01        7.114E-02        9.550E-05        0.493381    1.33689     9.550E-05        
0.434       1.52616     1.575E+01        7.141E-02        9.700E-05        0.492218    1.33689     9.700E-05        
0.435       1.52675     1.481E+01        7.160E-02        9.800E-05        0.491055    1.33689     9.800E-05        
0.436       1.52725     1.392E+01        7.174E-02        9.900E-05        0.489892    1.33689     9.900E-05        
