	ch	wvl	FWHM
1.00000	448.520	4.48000
2.00000	453.000	4.48000
3.00000	457.480	4.48000
4.00000	461.950	4.48000
5.00000	466.430	4.48000
6.00000	470.910	4.48000
7.00000	475.390	4.48000
8.00000	479.870	4.48000
9.00000	484.350	4.48000
10.0000	488.830	4.48000
11.0000	493.310	4.48000
12.0000	497.780	4.48000
13.0000	502.260	4.48000
14.0000	506.740	4.48000
15.0000	511.220	4.48000
16.0000	515.700	4.48000
17.0000	520.180	4.48000
18.0000	524.660	4.48000
19.0000	529.140	4.48000
20.0000	533.610	4.48000
21.0000	538.090	4.48000
22.0000	542.570	4.48000
23.0000	547.090	4.60000
24.0000	551.730	4.64000
25.0000	556.370	4.64000
26.0000	561.010	4.64000
27.0000	565.660	4.64000
28.0000	570.300	4.64000
29.0000	574.940	4.64000
30.0000	579.580	4.64000
31.0000	584.220	4.64000
32.0000	588.870	4.64000
33.0000	593.510	4.64000
34.0000	598.150	4.64000
35.0000	602.790	4.64000
36.0000	607.440	4.64000
37.0000	612.080	4.64000
38.0000	616.720	4.64000
39.0000	621.360	4.64000
40.0000	626.010	4.64000
41.0000	630.650	4.64000
42.0000	635.290	4.64000
43.0000	639.930	4.65000
44.0000	644.580	4.65000
45.0000	649.230	4.65000
46.0000	653.890	4.65000
47.0000	658.540	4.65000
48.0000	663.190	4.65000
49.0000	667.840	4.65000
50.0000	672.490	4.65000
51.0000	677.140	4.65000
52.0000	681.790	4.65000
53.0000	686.440	4.65000
54.0000	691.090	4.65000
55.0000	695.740	4.66000
56.0000	700.410	4.67000
57.0000	705.070	4.67000
58.0000	709.740	4.67000
59.0000	714.400	4.67000
60.0000	719.070	4.67000
61.0000	723.730	4.67000
62.0000	728.400	4.67000
63.0000	733.070	4.67000
64.0000	737.730	4.67000
65.0000	742.400	4.67000
66.0000	747.060	4.67000
67.0000	775.580	4.76000
68.0000	780.340	4.76000
69.0000	785.110	4.76000
70.0000	789.870	4.76000
71.0000	794.630	4.76000
72.0000	799.400	4.76000
73.0000	804.160	4.76000
74.0000	808.930	4.76000
75.0000	813.690	4.76000
76.0000	818.450	4.76000
77.0000	823.220	4.76000
78.0000	827.980	4.75000
79.0000	832.730	4.75000
80.0000	837.480	4.75000
81.0000	842.240	4.75000
82.0000	846.990	4.75000
83.0000	851.740	4.75000
84.0000	856.500	4.75000
85.0000	861.250	4.75000
86.0000	866.000	4.75000
87.0000	870.760	4.75000
88.0000	1144.87	6.29000
89.0000	1151.16	6.29000
90.0000	1157.45	6.29000
91.0000	1163.73	6.29000
92.0000	1170.02	6.29000
93.0000	1176.31	6.29000
94.0000	1182.60	6.29000
95.0000	1188.88	6.29000
96.0000	1195.17	6.29000
97.0000	1201.46	6.29000
98.0000	1207.75	6.29000
99.0000	1214.03	6.29000
100.000	1220.32	6.29000
101.000	1226.61	6.29000
102.000	1232.90	6.29000
103.000	1239.18	6.29000
104.000	1245.47	6.29000
105.000	1251.76	6.29000
106.000	1258.04	6.29000
107.000	1264.33	6.29000
108.000	1270.62	6.29000
109.000	1276.91	6.29000
110.000	1283.19	6.29000
111.000	1289.48	6.29000
112.000	1295.77	6.29000
113.000	1302.06	6.29000
114.000	1308.34	6.29000
115.000	1314.63	6.29000
116.000	1320.92	6.29000
117.000	1327.21	6.29000
118.000	1490.68	6.29000
119.000	1496.96	6.29000
120.000	1503.25	6.29000
121.000	1509.54	6.29000
122.000	1515.82	6.29000
123.000	1522.11	6.29000
124.000	1528.40	6.29000
125.000	1534.69	6.29000
126.000	1540.97	6.29000
127.000	1547.26	6.29000
128.000	1553.55	6.29000
129.000	1559.84	6.29000
130.000	1566.12	6.29000
131.000	1572.41	6.29000
132.000	1578.70	6.29000
133.000	1584.98	6.29000
134.000	1591.27	6.29000
