band	centre	FWHM	
1	375.274994	10.1349	
2	386.39801	11.64	
3	399.375	14.4614	
4	413.342987	13.4387	
5	426.674988	13.1934	
6	439.148987	11.6659	
7	450.570007	11.1285	
8	461.28299	10.2488	
9	470.950989	9.03236	
10	480.312988	9.68008	
11	489.770996	9.2048	
12	499.276001	9.80755	
13	508.753998	9.12477	
14	517.474976	8.28939	
15	525.265015	7.26141	
16	532.710999	7.61533	
17	539.719971	6.37092	
18	546.219971	6.62659	
19	552.117981	5.14938	
20	557.346985	5.30986	
21	562.742981	5.47904	
22	568.312988	5.65642	
23	573.090027	4.00417	
24	577.01001	4.09234	
25	581.018005	4.18245	
26	585.117004	4.27667	
27	589.309021	4.37433	
28	593.598999	4.47636	
29	597.989014	4.58242	
30	602.481995	4.69131	
31	607.08197	4.80477	
32	611.79303	4.92237	
33	616.617004	5.04376	
34	620.307983	3.45086	
35	622.807983	3.49715	
36	625.338989	3.54448	
37	627.900024	3.59286	
38	630.492004	3.64231	
39	633.11499	3.69284	
40	635.770996	3.74444	
41	638.458984	3.79707	
42	641.18103	3.85066	
43	643.937988	3.90514	
44	646.72998	3.96045	
45	649.557983	4.01653	
46	652.422974	4.07331	
47	655.325989	4.13072	
48	658.268982	4.1887	
49	661.250977	4.24719	
50	664.27301	4.30611	
51	667.338013	4.36541	
52	670.44397	4.42503	
53	673.593994	4.48488	
54	676.788025	4.54492	
55	680.026978	4.60507	
56	683.312012	4.66534	
57	686.643982	4.72598	
58	690.025024	4.78733	
59	693.455017	4.84971	
60	696.934998	4.91344	
61	700.468018	4.97887	
62	704.052979	5.0463	
63	707.692017	5.11607	
64	711.387024	5.18852	
65	715.138	5.26395	
66	718.947021	5.34271	
67	722.815002	5.42511	
68	726.742981	5.51149	
69	730.731995	5.60196	
70	734.781982	5.69581	
71	738.89502	5.79212	
72	743.070007	5.88997	
73	747.307007	5.98842	
74	751.609009	6.08657	
75	755.973022	6.18348	
76	760.403015	6.27823	
77	764.896973	6.37045	
78	769.458008	6.4619	
79	774.091003	6.55491	
80	778.796997	6.65179	
81	783.580994	6.75486	
82	788.44397	6.86645	
83	793.390991	6.98885	
84	798.424011	7.1244	
85	803.546997	7.27541	
86	808.760986	7.44419	
87	814.070984	7.63196	
88	819.476013	7.83548	
89	824.974976	8.05042	
90	830.567993	8.27242	
91	836.254028	8.49716	
92	842.031982	8.72029	
93	847.901978	8.93746	
94	853.862976	9.14435	
95	859.914978	9.3366	
96	866.05603	9.50988	
97	872.286011	9.65985	
98	878.60498	9.78216	
99	885.012024	9.87247	
100	891.505981	9.92645	
101	898.086975	9.93974	
102	904.752991	9.90803	
103	911.505005	9.82695	
104	918.341003	9.69217	
105	925.262024	9.49935	
106	932.265991	9.24415	
107	939.35199	8.92222	
108	946.520996	8.52923	
109	953.770996	8.06084	
110	961.10199	7.51271	
111	968.513	6.88048	
112	976.002991	6.15983	
113	983.572021	5.34641	
114	991.242004	10.1718	
115	1000.960022	10.261	
116	1010.669983	10.3471	
117	1020.369995	10.4301	
118	1030.069946	10.5103	
119	1039.76001	10.5876	
120	1049.439941	10.6621	
121	1059.119995	10.7338	
122	1068.790039	10.8028	
123	1078.449951	10.8691	
124	1088.099976	10.9329	
125	1097.73999	10.9941	
126	1107.380005	11.0528	
127	1117.01001	11.1091	
128	1126.630005	11.1629	
129	1136.23999	11.2144	
130	1145.839966	11.2637	
131	1155.439941	11.3107	
132	1165.02002	11.3555	
133	1174.599976	11.3981	
134	1184.160034	11.4387	
135	1193.719971	11.4771	
