ID	SZA	SAA	VZA	VAA
060912_m55	46.6	162.7	57.52	182.14
060912_m36	46.6	162.7	38.14	172.61
060912_nadir	46.6	162.7	16.04	138.13
060912_p36	46.6	162.7	34.48	31.14
060912_p55	46.6	162.7	54.94	22.67
060913_m55	46.5	166.7	56.90	198.50
060913_m36	46.5	166.7	37.31	201.60
060913_nadir	46.5	166.7	7.03	224.02
060913_p36	46.5	166.7	32.55	4.97
060913_p55	46.5	166.7	54.47	9.80
060922_m55	49.7	169.7	56.37	203.55
060922_m36	49.7	169.7	37.85	209.32
060922_nadir	49.7	169.7	14.02	225.0
060922_p36	49.7	169.7	32.95	353.48
060922_p55	49.7	169.7	53.82	4.55
				
