Band	W_low_	W_high	W_mid_	FWHM	Gain	Row_low	Row_high
1	485.00	496.60	490.70	11.60	3	111	115
2	545.60	558.60	552.00	12.90	3	134	137
3	625.40	639.50	632.40	14.10	2	155	157
4	664.90	675.70	670.30	10.80	3	163	164
5	675.70	687.00	681.30	11.20	3	165	166
6	687.00	692.80	689.90	5.80	3	167	167
7	692.80	698.70	695.70	5.90	3	168	168
8	698.70	704.70	701.70	6.00	3	169	169
9	704.70	710.80	707.70	6.10	3	170	170
10	710.80	717.10	713.90	6.30	3	171	171
11	717.10	723.40	720.20	6.40	3	172	172
12	729.90	743.20	736.50	13.30	2	174	175
13	743.20	750.10	746.60	6.90	3	176	176
14	750.10	757.10	753.50	7.00	3	177	177
15	757.10	764.20	760.60	7.10	3	178	178
16	771.40	786.30	778.80	14.90	2	180	181
17	786.30	794.00	790.20	7.60	3	182	182
18	794.00	801.80	797.90	7.80	3	183	183
