Wavelength	Blackberry	Grass	Blueberry	Litter	Humus	Soil
400	0.02503019	0.038950451	0.034487298	0.046132652	0.025662194	0.035312005
401	0.025336265	0.039489696	0.034711006	0.046789002	0.025773997	0.035366597
402	0.025839095	0.040362284	0.034964764	0.047774535	0.026346928	0.035776115
403	0.02586795	0.040574651	0.034779829	0.04772162	0.026087794	0.03519916
404	0.026070177	0.041008841	0.034693733	0.047771018	0.025737714	0.034679502
405	0.026464935	0.041693539	0.034781308	0.047998535	0.02542396	0.034326458
406	0.02708087	0.042507224	0.03518462	0.048387538	0.02521463	0.034379089
407	0.027644102	0.043271197	0.035597809	0.048781823	0.024966782	0.034193703
408	0.027955218	0.043734417	0.035873076	0.049151634	0.024628931	0.033825515
409	0.027952003	0.043673601	0.035896256	0.049498709	0.02442415	0.033742346
410	0.027850245	0.043468384	0.035585381	0.049336783	0.024272164	0.033475982
411	0.027876015	0.043472034	0.035481476	0.04961441	0.024318814	0.033395441
412	0.027912158	0.043533376	0.035586058	0.050165937	0.024479502	0.033380161
413	0.027943454	0.043579277	0.03569535	0.05063023	0.024509386	0.033298511
414	0.028077431	0.043695956	0.035861556	0.050950542	0.024339793	0.033127213
415	0.028304527	0.043844112	0.036104623	0.051312524	0.024130216	0.032915217
416	0.028355175	0.043821259	0.036130349	0.051678156	0.023885353	0.032772251
417	0.028550795	0.044010833	0.036241263	0.052151051	0.023787709	0.032629601
418	0.028784429	0.044231968	0.036300757	0.052724869	0.023738024	0.032526806
419	0.028874487	0.044309819	0.036231803	0.053275626	0.023622644	0.032531962
420	0.02909939	0.04451487	0.036263989	0.054115607	0.023653815	0.032554978
421	0.029354933	0.044684396	0.036422262	0.054802054	0.023567749	0.032522528
422	0.029581935	0.044781279	0.036658908	0.055308661	0.023377961	0.032581568
423	0.029682258	0.044765738	0.036772053	0.055598556	0.023161658	0.032477749
424	0.029712226	0.044734933	0.036838698	0.055740599	0.022917298	0.032268952
425	0.029769359	0.044746242	0.03692494	0.055897171	0.022711348	0.032056015
